filename,noisetype,snr
p299_001,babble,15
p299_002,babble,10
p299_003,babble,5
p299_004,babble,0
p299_005,cafeteria,15
p299_006,cafeteria,10
p299_007,cafeteria,5
p299_008,cafeteria,0
p299_009,car,15
p299_010,car,10
p299_011,car,5
p299_012,car,0
p299_013,kitchen,15
p299_014,kitchen,10
p299_015,kitchen,5
p299_016,kitchen,0
p299_017,meeting,15
p299_018,meeting,10
p299_019,meeting,5
p299_020,meeting,0
p299_021,metro,15
p299_022,metro,10
p299_023,metro,5
p299_024,metro,0
p299_025,restaurant,15
p299_026,restaurant,10
p299_027,restaurant,5
p299_028,restaurant,0
p299_029,ssn,15
p299_030,ssn,10
p299_031,ssn,5
p299_032,ssn,0
p299_033,station,15
p299_034,station,10
p299_035,station,5
p299_036,station,0
p299_037,traffic,15
p299_038,traffic,10
p299_039,traffic,5
p299_040,traffic,0
p299_041,babble,15
p299_042,babble,10
p299_043,babble,5
p299_044,babble,0
p299_045,cafeteria,15
p299_046,cafeteria,10
p299_047,cafeteria,5
p299_048,cafeteria,0
p299_049,car,15
p299_050,car,10
p299_051,car,5
p299_052,car,0
p299_053,kitchen,15
p299_054,kitchen,10
p299_055,kitchen,5
p299_056,kitchen,0
p299_057,meeting,15
p299_058,meeting,10
p299_059,meeting,5
p299_060,meeting,0
p299_061,metro,15
p299_062,metro,10
p299_063,metro,5
p299_064,metro,0
p299_065,restaurant,15
p299_066,restaurant,10
p299_067,restaurant,5
p299_068,restaurant,0
p299_069,ssn,15
p299_070,ssn,10
p299_071,ssn,5
p299_072,ssn,0
p299_073,station,15
p299_074,station,10
p299_075,station,5
p299_076,station,0
p299_077,traffic,15
p299_078,traffic,10
p299_079,traffic,5
p299_080,traffic,0
p299_081,babble,15
p299_082,babble,10
p299_083,babble,5
p299_084,babble,0
p299_085,cafeteria,15
p299_086,cafeteria,10
p299_087,cafeteria,5
p299_088,cafeteria,0
p299_089,car,15
p299_090,car,10
p299_091,car,5
p299_092,car,0
p299_093,kitchen,15
p299_094,kitchen,10
p299_095,kitchen,5
p299_096,kitchen,0
p299_097,meeting,15
p299_098,meeting,10
p299_099,meeting,5
p299_100,meeting,0
p299_101,metro,15
p299_102,metro,10
p299_103,metro,5
p299_104,metro,0
p299_105,restaurant,15
p299_106,restaurant,10
p299_107,restaurant,5
p299_108,restaurant,0
p299_109,ssn,15
p299_110,ssn,10
p299_111,ssn,5
p299_112,ssn,0
p299_113,station,15
p299_114,station,10
p299_115,station,5
p299_116,station,0
p299_117,traffic,15
p299_118,traffic,10
p299_119,traffic,5
p299_120,traffic,0
p299_121,babble,15
p299_122,babble,10
p299_123,babble,5
p299_124,babble,0
p299_125,cafeteria,15
p299_126,cafeteria,10
p299_127,cafeteria,5
p299_128,cafeteria,0
p299_129,car,15
p299_130,car,10
p299_131,car,5
p299_132,car,0
p299_133,kitchen,15
p299_134,kitchen,10
p299_135,kitchen,5
p299_136,kitchen,0
p299_137,meeting,15
p299_138,meeting,10
p299_139,meeting,5
p299_140,meeting,0
p299_141,metro,15
p299_142,metro,10
p299_143,metro,5
p299_144,metro,0
p299_145,restaurant,15
p299_146,restaurant,10
p299_147,restaurant,5
p299_148,restaurant,0
p299_149,ssn,15
p299_150,ssn,10
p299_151,ssn,5
p299_152,ssn,0
p299_153,station,15
p299_154,station,10
p299_155,station,5
p299_156,station,0
p299_157,traffic,15
p299_158,traffic,10
p299_159,traffic,5
p299_160,traffic,0
p299_161,babble,15
p299_162,babble,10
p299_163,babble,5
p299_164,babble,0
p299_165,cafeteria,15
p299_166,cafeteria,10
p299_167,cafeteria,5
p299_168,cafeteria,0
p299_169,car,15
p299_170,car,10
p299_171,car,5
p299_172,car,0
p299_173,kitchen,15
p299_174,kitchen,10
p299_175,kitchen,5
p299_176,kitchen,0
p299_177,meeting,15
p299_178,meeting,10
p299_179,meeting,5
p299_180,meeting,0
p299_181,metro,15
p299_182,metro,10
p299_183,metro,5
p299_184,metro,0
p299_185,restaurant,15
p299_186,restaurant,10
p299_187,restaurant,5
p299_188,restaurant,0
p299_189,ssn,15
p299_190,ssn,10
p299_191,ssn,5
p299_192,ssn,0
p299_193,station,15
p299_194,station,10
p299_195,station,5
p299_196,station,0
p299_197,traffic,15
p299_198,traffic,10
p299_199,traffic,5
p299_200,traffic,0
p299_201,babble,15
p299_202,babble,10
p299_203,babble,5
p299_204,babble,0
p299_205,cafeteria,15
p299_206,cafeteria,10
p299_207,cafeteria,5
p299_208,cafeteria,0
p299_209,car,15
p299_210,car,10
p299_211,car,5
p299_212,car,0
p299_213,kitchen,15
p299_214,kitchen,10
p299_215,kitchen,5
p299_216,kitchen,0
p299_217,meeting,15
p299_218,meeting,10
p299_219,meeting,5
p299_220,meeting,0
p299_221,metro,15
p299_222,metro,10
p299_223,metro,5
p299_224,metro,0
p299_225,restaurant,15
p299_226,restaurant,10
p299_227,restaurant,5
p299_228,restaurant,0
p299_229,ssn,15
p299_230,ssn,10
p299_231,ssn,5
p299_232,ssn,0
p299_233,station,15
p299_234,station,10
p299_235,station,5
p299_236,station,0
p299_237,traffic,15
p299_238,traffic,10
p299_239,traffic,5
p299_240,traffic,0
p299_241,babble,15
p299_242,babble,10
p299_243,babble,5
p299_244,babble,0
p299_245,cafeteria,15
p299_246,cafeteria,10
p299_247,cafeteria,5
p299_248,cafeteria,0
p299_249,car,15
p299_250,car,10
p299_251,car,5
p299_252,car,0
p299_253,kitchen,15
p299_254,kitchen,10
p299_255,kitchen,5
p299_256,kitchen,0
p299_257,meeting,15
p299_258,meeting,10
p299_259,meeting,5
p299_260,meeting,0
p299_261,metro,15
p299_262,metro,10
p299_263,metro,5
p299_264,metro,0
p299_265,restaurant,15
p299_266,restaurant,10
p299_267,restaurant,5
p299_268,restaurant,0
p299_269,ssn,15
p299_270,ssn,10
p299_271,ssn,5
p299_272,ssn,0
p299_273,station,15
p299_274,station,10
p299_275,station,5
p299_276,station,0
p299_277,traffic,15
p299_278,traffic,10
p299_279,traffic,5
p299_280,traffic,0
p299_281,babble,15
p299_282,babble,10
p299_283,babble,5
p299_284,babble,0
p299_285,cafeteria,15
p299_286,cafeteria,10
p299_287,cafeteria,5
p299_288,cafeteria,0
p299_289,car,15
p299_290,car,10
p299_291,car,5
p299_292,car,0
p299_293,kitchen,15
p299_294,kitchen,10
p299_295,kitchen,5
p299_296,kitchen,0
p299_297,meeting,15
p299_298,meeting,10
p299_299,meeting,5
p299_300,meeting,0
p299_301,metro,15
p299_302,metro,10
p299_303,metro,5
p299_304,metro,0
p299_305,restaurant,15
p299_306,restaurant,10
p299_307,restaurant,5
p299_308,restaurant,0
p299_309,ssn,15
p299_310,ssn,10
p299_311,ssn,5
p299_312,ssn,0
p299_313,station,15
p299_314,station,10
p299_315,station,5
p299_316,station,0
p299_317,traffic,15
p299_318,traffic,10
p299_319,traffic,5
p299_320,traffic,0
p299_321,babble,15
p299_322,babble,10
p299_323,babble,5
p299_324,babble,0
p299_325,cafeteria,15
p299_326,cafeteria,10
p299_327,cafeteria,5
p299_328,cafeteria,0
p299_329,car,15
p299_330,car,10
p299_331,car,5
p299_332,car,0
p299_333,kitchen,15
p299_334,kitchen,10
p299_335,kitchen,5
p299_336,kitchen,0
p299_337,meeting,15
p299_338,meeting,10
p299_339,meeting,5
p299_340,meeting,0
p299_341,metro,15
p299_342,metro,10
p299_343,metro,5
p299_344,metro,0
p299_345,restaurant,15
p299_346,restaurant,10
p299_347,restaurant,5
p299_348,restaurant,0
p299_349,ssn,15
p299_350,ssn,10
