filename,noisetype,snr
p345_229.wav,bus,17.5
p245_100.wav,living,12.5
p313_058.wav,cafe,12.5
p364_096.wav,bus,17.5
p251_256.wav,psquare,2.5
p339_242.wav,bus,17.5
p272_339.wav,bus,12.5
p248_137.wav,cafe,17.5
p255_114.wav,psquare,12.5
p249_324.wav,psquare,2.5
p374_082.wav,cafe,2.5
p283_269.wav,psquare,7.5
p241_242.wav,bus,12.5
p334_275.wav,office,7.5
p335_066.wav,living,12.5
p316_109.wav,cafe,7.5
p363_217.wav,bus,17.5
p334_261.wav,office,17.5
p241_256.wav,living,7.5
p234_148.wav,psquare,7.5
p335_072.wav,bus,2.5
p363_203.wav,psquare,17.5
p255_100.wav,office,17.5
p248_123.wav,psquare,7.5
p249_330.wav,psquare,7.5
p301_388.wav,psquare,12.5
p374_096.wav,bus,17.5
p303_058.wav,cafe,7.5
p339_256.wav,bus,12.5
p251_242.wav,bus,2.5
p306_109.wav,living,2.5
p245_114.wav,living,12.5
p293_269.wav,living,7.5
p364_082.wav,cafe,7.5
p306_121.wav,bus,12.5
p307_332.wav,psquare,12.5
p272_305.wav,cafe,2.5
p345_215.wav,office,7.5
p312_277.wav,psquare,12.5
p293_241.wav,living,17.5
p265_190.wav,cafe,17.5
p313_064.wav,living,2.5
p266_053.wav,living,17.5
p292_052.wav,cafe,7.5
p264_383.wav,cafe,2.5
p234_160.wav,office,2.5
p341_157.wav,cafe,7.5
p336_199.wav,cafe,12.5
p343_287.wav,psquare,7.5
p334_249.wav,psquare,2.5
p263_102.wav,psquare,2.5
p316_135.wav,living,12.5
p255_128.wav,cafe,2.5
p249_318.wav,bus,17.5
p303_070.wav,bus,12.5
p283_255.wav,cafe,2.5
p302_263.wav,psquare,17.5
p275_184.wav,office,2.5
p281_185.wav,psquare,2.5
p303_064.wav,psquare,7.5
p302_277.wav,psquare,17.5
p283_241.wav,bus,7.5
p275_190.wav,living,17.5
p281_191.wav,living,2.5
p341_143.wav,cafe,2.5
p234_174.wav,bus,7.5
p343_293.wav,psquare,12.5
p316_121.wav,psquare,17.5
p263_116.wav,living,12.5
p245_128.wav,cafe,7.5
p345_201.wav,cafe,17.5
p293_255.wav,psquare,7.5
p312_263.wav,office,17.5
p265_184.wav,bus,7.5
p266_047.wav,living,12.5
p292_046.wav,bus,12.5
p313_070.wav,psquare,17.5
p264_397.wav,bus,2.5
p326_199.wav,bus,12.5
p351_157.wav,cafe,2.5
p306_135.wav,psquare,12.5
p272_311.wav,living,2.5
p307_326.wav,cafe,12.5
p271_239.wav,living,2.5
p285_238.wav,living,2.5
p299_008.wav,psquare,2.5
p339_281.wav,bus,12.5
p251_295.wav,cafe,17.5
p326_172.wav,living,17.5
p310_158.wav,psquare,12.5
p312_288.wav,psquare,12.5
p364_055.wav,bus,17.5
p333_037.wav,bus,12.5
p247_213.wav,bus,17.5
p360_317.wav,living,17.5
p361_104.wav,psquare,12.5
p343_278.wav,living,2.5
p241_281.wav,cafe,12.5
p336_166.wav,psquare,2.5
p374_041.wav,cafe,2.5
p257_207.wav,office,12.5
p323_023.wav,bus,17.5
p374_055.wav,office,7.5
p302_288.wav,office,2.5
p257_213.wav,office,17.5
p323_037.wav,bus,17.5
p360_303.wav,office,7.5
p361_110.wav,bus,12.5
p295_238.wav,cafe,12.5
p241_295.wav,psquare,2.5
p336_172.wav,cafe,2.5
p237_048.wav,cafe,7.5
p264_368.wav,office,12.5
p364_041.wav,bus,2.5
p333_023.wav,psquare,17.5
p246_014.wav,bus,17.5
p247_207.wav,bus,12.5
p232_119.wav,cafe,2.5
p305_009.wav,office,2.5
p251_281.wav,cafe,2.5
p339_295.wav,bus,12.5
p326_166.wav,office,17.5
p293_282.wav,office,7.5
p265_153.wav,office,7.5
p310_164.wav,office,2.5
p266_090.wav,cafe,12.5
p292_091.wav,living,12.5
p364_069.wav,bus,17.5
p264_340.wav,living,17.5
p232_131.wav,bus,2.5
p347_106.wav,psquare,12.5
p271_205.wav,bus,17.5
p285_204.wav,cafe,17.5
p304_232.wav,psquare,17.5
p298_227.wav,cafe,2.5
p299_034.wav,bus,12.5
p305_021.wav,psquare,17.5
p351_180.wav,psquare,17.5
p301_405.wav,office,7.5
p301_363.wav,living,12.5
p283_296.wav,living,12.5
p275_147.wav,living,2.5
p281_146.wav,cafe,7.5
p260_002.wav,office,7.5
p308_016.wav,bus,17.5
p314_226.wav,office,17.5
p295_210.wav,bus,12.5
p361_138.wav,psquare,7.5
p341_194.wav,cafe,7.5
p343_244.wav,bus,12.5
p264_426.wav,living,7.5
p335_099.wav,cafe,2.5
p237_060.wav,psquare,7.5
p308_002.wav,psquare,17.5
p260_016.wav,psquare,7.5
p295_204.wav,bus,12.5
p314_232.wav,living,17.5
p341_180.wav,bus,12.5
p264_432.wav,living,7.5
p343_250.wav,psquare,12.5
p237_074.wav,living,12.5
p374_069.wav,living,2.5
p301_377.wav,living,17.5
p283_282.wav,bus,2.5
p275_153.wav,living,17.5
p281_152.wav,bus,7.5
p298_233.wav,cafe,7.5
p304_226.wav,cafe,2.5
p271_211.wav,psquare,2.5
p285_210.wav,psquare,17.5
p305_035.wav,bus,17.5
p284_003.wav,cafe,17.5
p299_020.wav,living,12.5
p351_194.wav,office,12.5
p301_411.wav,bus,7.5
p293_296.wav,living,17.5
p310_170.wav,living,12.5
p265_147.wav,cafe,17.5
p266_084.wav,living,2.5
p292_085.wav,psquare,12.5
p264_354.wav,cafe,12.5
p246_028.wav,cafe,2.5
p347_112.wav,bus,12.5
p232_125.wav,living,2.5
p363_015.wav,cafe,7.5
p335_264.wav,cafe,17.5
p341_369.wav,office,17.5
p241_040.wav,office,12.5
p334_077.wav,cafe,2.5
p374_280.wav,living,7.5
p376_150.wav,cafe,12.5
p249_126.wav,bus,12.5
p255_316.wav,office,7.5
p248_335.wav,living,17.5
p339_040.wav,living,7.5
p251_054.wav,psquare,2.5
p364_294.wav,psquare,7.5
p312_049.wav,bus,17.5
p310_399.wav,living,12.5
p245_302.wav,psquare,7.5
p266_279.wav,bus,17.5
p292_278.wav,psquare,2.5
p364_280.wav,living,7.5
p245_316.wav,office,17.5
p307_118.wav,office,12.5
p351_369.wav,living,17.5
p251_040.wav,office,17.5
p339_054.wav,psquare,12.5
p302_049.wav,living,2.5
p374_294.wav,bus,7.5
p376_144.wav,psquare,7.5
p249_132.wav,bus,7.5
p248_321.wav,psquare,7.5
p255_302.wav,office,7.5
p363_001.wav,office,7.5
p263_328.wav,psquare,12.5
p335_270.wav,cafe,2.5
p237_289.wav,office,12.5
p334_063.wav,psquare,7.5
p275_386.wav,office,17.5
p281_387.wav,living,7.5
p283_057.wav,cafe,2.5
p302_061.wav,psquare,7.5
p303_272.wav,office,2.5
p248_309.wav,office,12.5
p263_300.wav,psquare,2.5
p316_337.wav,cafe,17.5
p363_029.wav,living,7.5
p335_258.wav,bus,12.5
p343_085.wav,living,12.5
p341_355.wav,cafe,12.5
p264_181.wav,bus,17.5
p313_266.wav,cafe,2.5
p266_251.wav,psquare,17.5
p292_250.wav,office,2.5
p312_075.wav,psquare,12.5
p293_043.wav,office,2.5
p345_017.wav,office,12.5
p263_466.wav,cafe,17.5
p307_130.wav,bus,2.5
p272_107.wav,cafe,12.5
p306_323.wav,psquare,2.5
p251_068.wav,bus,12.5
p351_341.wav,bus,2.5
p272_113.wav,cafe,2.5
p307_124.wav,psquare,7.5
p306_337.wav,office,2.5
p339_068.wav,psquare,2.5
p351_355.wav,cafe,2.5
p264_195.wav,office,7.5
p266_245.wav,cafe,7.5
p292_244.wav,psquare,2.5
p313_272.wav,cafe,7.5
p293_057.wav,office,17.5
p312_061.wav,living,12.5
p345_003.wav,living,7.5
p263_472.wav,living,17.5
p316_323.wav,cafe,12.5
p263_314.wav,cafe,2.5
p343_091.wav,cafe,12.5
p241_068.wav,bus,2.5
p341_341.wav,office,7.5
p275_392.wav,psquare,2.5
p302_075.wav,office,17.5
p283_043.wav,cafe,2.5
p376_178.wav,office,17.5
p303_266.wav,psquare,2.5
p323_221.wav,office,17.5
p275_379.wav,living,7.5
p281_378.wav,office,2.5
p374_243.wav,psquare,12.5
p376_193.wav,office,12.5
p336_364.wav,living,2.5
p241_083.wav,office,17.5
p314_018.wav,office,7.5
p361_306.wav,office,12.5
p308_228.wav,office,12.5
p360_115.wav,psquare,17.5
p347_338.wav,office,17.5
p247_011.wav,bus,2.5
p246_202.wav,cafe,2.5
p333_235.wav,cafe,17.5
p336_402.wav,living,2.5
p364_257.wav,living,12.5
p313_299.wav,office,7.5
p326_370.wav,living,2.5
p251_097.wav,living,2.5
p339_083.wav,living,17.5
p298_019.wav,office,17.5
p326_364.wav,psquare,17.5
p339_097.wav,living,12.5
p251_083.wav,bus,17.5
p304_018.wav,bus,12.5
p247_005.wav,cafe,17.5
p333_221.wav,psquare,12.5
p246_216.wav,cafe,12.5
p364_243.wav,office,17.5
p336_416.wav,psquare,12.5
p336_370.wav,office,7.5
p361_312.wav,living,12.5
p260_228.wav,psquare,17.5
p360_101.wav,cafe,7.5
p323_235.wav,bus,17.5
p257_011.wav,living,2.5
p303_299.wav,office,12.5
p374_257.wav,bus,12.5
p301_149.wav,bus,7.5
p376_187.wav,psquare,17.5
p237_262.wav,psquare,17.5
p310_400.wav,living,2.5
p334_088.wav,living,17.5
p343_046.wav,psquare,7.5
p336_358.wav,bus,2.5
p341_396.wav,office,17.5
p314_024.wav,office,7.5
p295_012.wav,office,12.5
p360_129.wav,office,12.5
p308_214.wav,psquare,7.5
p260_200.wav,psquare,2.5
p257_039.wav,office,2.5
p275_345.wav,psquare,7.5
p281_344.wav,living,12.5
p283_094.wav,bus,7.5
p301_161.wav,office,12.5
p351_382.wav,office,2.5
p275_423.wav,living,17.5
p281_422.wav,office,7.5
p284_215.wav,cafe,2.5
p305_223.wav,cafe,7.5
p299_236.wav,living,7.5
p298_025.wav,living,7.5
p271_007.wav,psquare,17.5
p285_006.wav,psquare,12.5
p304_030.wav,bus,12.5
p232_333.wav,office,2.5
p347_304.wav,psquare,12.5
p333_209.wav,office,2.5
p264_142.wav,office,17.5
p266_292.wav,bus,7.5
p292_293.wav,cafe,2.5
p265_351.wav,cafe,7.5
p310_366.wav,psquare,7.5
p293_080.wav,office,7.5
p247_039.wav,office,7.5
p347_310.wav,living,2.5
p232_327.wav,living,7.5
